,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Burnley,Swansea,0,1,-1,0,0
2,Burnley,Liverpool,2,0,2,1,0
3,Chelsea,Burnley,3,0,-3,0,0
4,Burnley,Hull,1,1,0,0,0
5,Leicester,Burnley,3,0,-3,0,0
6,Burnley,Watford,2,0,2,1,0
7,Burnley,Arsenal,0,1,-1,0,0
8,Southampton,Burnley,3,1,-2,0,0
9,Burnley,Everton,2,1,1,1,0
10,Man United,Burnley,0,0,0,0,0
11,Burnley,Crystal Palace,3,2,1,1,0
12,West Brom,Burnley,4,0,-4,0,0
13,Burnley,Man City,1,2,-1,0,0
14,Stoke,Burnley,2,0,-2,0,0
15,Burnley,Bournemouth,3,2,1,1,0
16,West Ham,Burnley,1,0,-1,0,0
17,Tottenham,Burnley,2,1,-1,0,0
18,Burnley,Middlesbrough,1,0,1,1,0
19,Burnley,Sunderland,4,1,3,2,0
20,Man City,Burnley,2,1,-1,0,0
21,Burnley,Southampton,1,0,1,1,0
22,Arsenal,Burnley,2,1,-1,0,0
23,Burnley,Leicester,1,0,1,1,0
24,Watford,Burnley,2,1,-1,0,0
25,Burnley,Chelsea,1,1,0,0,0
26,Hull,Burnley,1,1,0,0,0
27,Swansea,Burnley,3,2,-1,0,0
28,Liverpool,Burnley,2,1,-1,0,0
29,Sunderland,Burnley,0,0,0,0,0
30,Burnley,Tottenham,0,2,-2,0,0
31,Burnley,Stoke,1,0,1,1,0
32,Middlesbrough,Burnley,0,0,0,0,0
33,Everton,Burnley,3,1,-2,0,0
34,Burnley,Man United,0,2,-2,0,0
35,Crystal Palace,Burnley,0,2,2,1,0
36,Burnley,West Brom,2,2,0,0,0
37,Bournemouth,Burnley,2,1,-1,0,0
38,Burnley,West Ham,1,2,-1,0,0
