,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Crystal Palace,West Brom,0,1,-1,0,0
2,Tottenham,Crystal Palace,1,0,-1,0,0
3,Crystal Palace,Bournemouth,1,1,0,0,0
4,Middlesbrough,Crystal Palace,1,2,1,1,0
5,Crystal Palace,Stoke,4,1,3,2,0
6,Sunderland,Crystal Palace,2,3,1,3,1
7,Everton,Crystal Palace,1,1,0,0,0
8,Crystal Palace,West Ham,0,1,-1,0,0
9,Leicester,Crystal Palace,3,1,-2,0,0
10,Crystal Palace,Liverpool,2,4,-2,0,0
11,Burnley,Crystal Palace,3,2,-1,0,0
12,Crystal Palace,Man City,1,2,-1,0,0
13,Swansea,Crystal Palace,5,4,-1,0,0
14,Crystal Palace,Southampton,3,0,3,1,0
15,Hull,Crystal Palace,3,3,0,0,0
16,Crystal Palace,Man United,1,2,-1,0,0
17,Crystal Palace,Chelsea,0,1,-1,0,0
18,Watford,Crystal Palace,1,1,0,0,0
19,Arsenal,Crystal Palace,2,0,-2,0,0
20,Crystal Palace,Swansea,1,2,-1,0,0
21,West Ham,Crystal Palace,3,0,-3,0,0
22,Crystal Palace,Everton,0,1,-1,0,0
23,Bournemouth,Crystal Palace,0,2,2,1,0
24,Crystal Palace,Sunderland,0,4,-4,0,0
25,Stoke,Crystal Palace,1,0,-1,0,0
26,Crystal Palace,Middlesbrough,1,0,1,1,0
27,West Brom,Crystal Palace,0,2,2,2,0
28,Crystal Palace,Watford,1,0,1,3,1
29,Chelsea,Crystal Palace,1,2,1,4,1
30,Southampton,Crystal Palace,3,1,-2,0,0
31,Crystal Palace,Arsenal,3,0,3,1,0
32,Crystal Palace,Leicester,2,2,0,0,0
33,Liverpool,Crystal Palace,1,2,1,1,0
34,Crystal Palace,Tottenham,0,1,-1,0,0
35,Crystal Palace,Burnley,0,2,-2,0,0
36,Man City,Crystal Palace,5,0,-5,0,0
37,Crystal Palace,Hull,4,0,4,1,0
38,Man United,Crystal Palace,2,0,-2,0,0
